age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
36;blue-collar;married;secondary;no;-195;yes;no;unknown;13;may;229;1;-1;0;unknown;no
30;technician;single;secondary;no;-208;yes;yes;unknown;13;may;108;1;-1;0;unknown;no
26;blue-collar;single;secondary;no;309;yes;no;unknown;13;may;210;1;-1;0;unknown;no
41;blue-collar;divorced;primary;yes;210;yes;no;unknown;13;may;383;1;-1;0;unknown;no
42;unemployed;married;secondary;no;135;yes;no;unknown;13;may;259;6;-1;0;unknown;no
45;blue-collar;married;secondary;no;66;yes;no;unknown;13;may;3366;3;-1;0;unknown;no
24;services;single;secondary;yes;-122;yes;no;unknown;13;may;1000;1;-1;0;unknown;yes
54;retired;divorced;tertiary;no;0;no;no;unknown;13;may;618;1;-1;0;unknown;yes
33;blue-collar;single;unknown;no;-90;yes;no;unknown;13;may;415;1;-1;0;unknown;no
28;blue-collar;married;primary;no;286;yes;no;unknown;13;may;237;1;-1;0;unknown;no
36;admin.;married;secondary;no;-423;yes;yes;unknown;13;may;106;1;-1;0;unknown;no
34;blue-collar;single;primary;no;505;yes;no;unknown;13;may;351;1;-1;0;unknown;no
28;admin.;single;secondary;no;296;yes;no;unknown;13;may;218;1;-1;0;unknown;no
31;technician;single;tertiary;no;279;yes;no;unknown;13;may;198;1;-1;0;unknown;no
53;services;married;secondary;no;367;yes;yes;unknown;13;may;284;2;-1;0;unknown;no
20;blue-collar;single;secondary;no;129;yes;yes;unknown;13;may;190;1;-1;0;unknown;no
47;retired;married;primary;yes;-13;no;no;unknown;13;may;295;1;-1;0;unknown;no
33;blue-collar;married;primary;no;1309;yes;no;unknown;13;may;262;1;-1;0;unknown;no
24;blue-collar;single;secondary;no;-10;yes;no;unknown;13;may;106;1;-1;0;unknown;no
23;admin.;single;secondary;no;5;yes;no;unknown;13;may;93;1;-1;0;unknown;no
27;blue-collar;single;secondary;no;71;yes;no;unknown;13;may;174;1;-1;0;unknown;no
23;admin.;single;secondary;no;281;yes;no;unknown;13;may;124;1;-1;0;unknown;no
30;blue-collar;married;secondary;no;173;yes;no;unknown;13;may;217;1;-1;0;unknown;no
34;blue-collar;divorced;secondary;no;383;yes;no;unknown;13;may;2231;1;-1;0;unknown;yes
55;blue-collar;divorced;primary;no;39;yes;no;unknown;13;may;343;1;-1;0;unknown;no
57;management;married;primary;no;1052;yes;no;unknown;13;may;227;4;-1;0;unknown;no
59;retired;divorced;unknown;no;-49;yes;no;unknown;13;may;248;2;-1;0;unknown;no
20;services;single;secondary;no;-103;yes;no;unknown;13;may;180;1;-1;0;unknown;no
30;services;married;secondary;yes;-846;yes;no;unknown;13;may;117;1;-1;0;unknown;no
41;admin.;married;secondary;no;705;yes;no;unknown;13;may;205;1;-1;0;unknown;no
37;services;single;secondary;no;1950;yes;no;unknown;13;may;370;1;-1;0;unknown;no
31;admin.;DIVORCED;secondary;no;253;yes;no;unknown;13;may;289;2;-1;0;unknown;no
39;management;single;tertiary;no;595;yes;no;unknown;13;may;427;1;-1;0;unknown;no
28;blue-collar;married;secondary;no;-185;yes;yes;unknown;13;may;170;1;-1;0;unknown;no
44;blue-collar;married;primary;no;353;yes;no;unknown;13;may;705;1;-1;0;unknown;no
31;technician;married;secondary;no;2363;yes;no;unknown;13;may;247;1;-1;0;unknown;no
28;blue-collar;married;unknown;no;52;yes;no;unknown;13;may;226;1;-1;0;unknown;no
51;technician;married;unknown;no;205;yes;yes;unknown;13;may;665;1;-1;0;unknown;no
34;management;married;tertiary;no;1557;yes;yes;unknown;13;may;213;1;-1;0;unknown;no
24;technician;single;tertiary;no;596;yes;no;unknown;13;may;451;1;-1;0;unknown;no
29;self-employed;single;tertiary;no;-114;yes;no;unknown;13;may;174;1;-1;0;unknown;no
50;management;married;primary;no;478;no;no;unknown;13;may;126;5;-1;0;unknown;no
21;blue-collar;single;secondary;no;614;yes;no;unknown;13;may;243;3;-1;0;unknown;no
29;blue-collar;single;secondary;no;783;yes;no;unknown;13;may;166;1;-1;0;unknown;no
26;blue-collar;single;secondary;no;401;yes;no;unknown;13;may;373;1;-1;0;unknown;no
26;admin.;single;secondary;no;92;yes;no;unknown;13;may;259;1;-1;0;unknown;no
21;blue-collar;single;secondary;no;-273;yes;yes;unknown;13;may;340;1;-1;0;unknown;no
23;blue-collar;single;primary;no;2594;yes;no;unknown;13;may;193;1;-1;0;unknown;no
25;services;single;secondary;no;382;yes;no;unknown;13;may;392;1;-1;0;unknown;no
40;blue-collar;married;primary;no;-166;yes;no;unknown;13;may;136;1;-1;0;unknown;no
39;admin.;divorced;secondary;no;-141;yes;no;unknown;13;may;148;1;-1;0;unknown;no
25;blue-collar;single;secondary;no;-250;yes;no;unknown;13;may;456;1;-1;0;unknown;no
26;technician;married;tertiary;no;3825;yes;no;unknown;13;may;107;1;-1;0;unknown;no
57;technician;married;secondary;no;0;no;no;unknown;13;may;44;1;-1;0;unknown;no
61;retired;married;primary;no;1060;yes;no;unknown;13;may;118;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;-185;yes;yes;unknown;13;may;276;1;-1;0;unknown;no
47;unemployed;married;secondary;no;955;yes;no;unknown;13;may;47;1;-1;0;unknown;no
31;self-employed;married;secondary;no;263;yes;no;unknown;13;may;150;2;-1;0;unknown;no
45;blue-collar;married;secondary;no;4646;yes;no;unknown;13;may;118;1;-1;0;unknown;no
33;technician;single;tertiary;no;989;yes;yes;unknown;13;may;232;3;-1;0;unknown;no
27;technician;married;secondary;no;232;yes;yes;unknown;13;may;1167;1;-1;0;unknown;no
41;unemployed;married;primary;no;1483;yes;no;unknown;13;may;227;1;-1;0;unknown;no
58;technician;married;secondary;no;7495;yes;no;unknown;13;may;325;1;-1;0;unknown;no
45;management;married;tertiary;no;0;yes;yes;unknown;13;may;147;1;-1;0;unknown;no
49;self-employed;married;tertiary;no;2199;yes;no;unknown;13;may;98;1;-1;0;unknown;no
42;blue-collar;married;secondary;no;476;yes;no;unknown;13;may;93;1;-1;0;unknown;no
52;blue-collar;married;secondary;no;148;yes;no;unknown;13;may;83;1;-1;0;unknown;no
52;services;married;secondary;no;3241;yes;no;unknown;13;may;105;1;-1;0;unknown;no
49;retired;married;primary;no;2665;yes;no;unknown;13;may;67;1;-1;0;unknown;no
59;retired;married;secondary;no;1875;yes;no;unknown;13;may;77;1;-1;0;unknown;no
54;management;married;primary;no;879;yes;no;unknown;13;may;191;1;-1;0;unknown;no
46;blue-collar;married;secondary;no;1934;yes;no;unknown;13;may;20;1;-1;0;unknown;no
44;management;married;tertiary;no;0;no;no;unknown;13;may;27;1;-1;0;unknown;no
26;services;married;secondary;no;380;yes;no;unknown;13;may;260;3;-1;0;unknown;no
46;blue-collar;married;secondary;no;2485;yes;no;unknown;13;may;174;4;-1;0;unknown;no
59;retired;married;primary;no;5521;yes;yes;unknown;13;may;94;1;-1;0;unknown;no
43;blue-collar;married;unknown;no;24;yes;no;unknown;13;may;23;2;-1;0;unknown;no
50;blue-collar;married;secondary;no;160;yes;no;unknown;13;may;334;1;-1;0;unknown;no
26;blue-collar;single;secondary;no;-204;yes;no;unknown;13;may;609;2;-1;0;unknown;no
54;blue-collar;married;unknown;no;363;yes;no;unknown;13;may;202;1;-1;0;unknown;no
44;technician;divorced;secondary;no;181;no;no;unknown;13;may;302;1;-1;0;unknown;no
36;admin.;divorced;secondary;no;307;yes;no;unknown;13;may;121;2;-1;0;unknown;no
51;services;married;unknown;no;193;yes;no;unknown;13;may;202;3;-1;0;unknown;no
59;retired;married;secondary;no;3382;yes;no;unknown;13;may;806;1;-1;0;unknown;no
42;management;married;tertiary;no;1823;yes;no;unknown;13;may;31;1;-1;0;unknown;no
41;services;married;secondary;no;-111;yes;no;unknown;13;may;21;1;-1;0;unknown;no
43;blue-collar;married;unknown;no;3373;yes;no;unknown;13;may;156;1;-1;0;unknown;no
40;self-employed;married;primary;no;92;yes;no;unknown;13;may;92;1;-1;0;unknown;no
32;technician;married;tertiary;no;463;yes;no;unknown;13;may;128;2;-1;0;unknown;no
55;technician;married;unknown;no;1192;yes;no;unknown;13;may;481;1;-1;0;unknown;no
59;retired;married;secondary;no;2376;no;no;unknown;13;may;766;1;-1;0;unknown;no
30;blue-collar;married;secondary;no;-166;yes;yes;unknown;13;may;255;5;-1;0;unknown;no
47;admin.;married;secondary;no;3960;yes;no;unknown;13;may;110;1;-1;0;unknown;no
23;entrepreneur;single;primary;no;4;yes;no;unknown;13;may;395;2;-1;0;unknown;yes
44;blue-collar;married;primary;no;23;yes;no;unknown;13;may;135;1;-1;0;unknown;no
45;technician;married;secondary;no;639;yes;no;unknown;13;may;192;1;-1;0;unknown;no
35;technician;single;secondary;no;2144;yes;no;unknown;13;may;188;2;-1;0;unknown;no
41;technician;divorced;secondary;no;225;yes;yes;unknown;13;may;139;1;-1;0;unknown;no
59;management;divorced;primary;no;13308;yes;no;unknown;13;may;131;1;-1;0;unknown;no
29;services;single;primary;no;95;yes;no;unknown;13;may;266;2;-1;0;unknown;no
48;services;married;secondary;no;1199;yes;no;unknown;13;may;76;1;-1;0;unknown;no
49;management;married;tertiary;no;400;yes;no;unknown;13;may;122;1;-1;0;unknown;no
60;blue-collar;married;primary;no;1262;yes;yes;unknown;13;may;1015;1;-1;0;unknown;yes
45;management;married;tertiary;no;849;no;no;unknown;13;may;60;1;-1;0;unknown;no
48;management;married;tertiary;no;1949;yes;no;unknown;13;may;683;2;-1;0;unknown;yes
45;entrepreneur;divorced;tertiary;no;-395;yes;no;unknown;13;may;470;1;-1;0;unknown;yes
48;management;married;tertiary;no;618;no;no;unknown;13;may;149;1;-1;0;unknown;no
54;retired;married;primary;no;0;yes;no;unknown;13;may;106;1;-1;0;unknown;no
44;technician;married;tertiary;no;0;yes;yes;unknown;13;may;127;2;-1;0;unknown;no
46;blue-collar;single;primary;no;355;yes;no;unknown;13;may;320;1;-1;0;unknown;no
52;admin.;divorced;secondary;no;131;yes;yes;unknown;13;may;145;1;-1;0;unknown;no
44;management;married;tertiary;no;6203;yes;yes;unknown;13;may;129;1;-1;0;unknown;no
52;services;divorced;secondary;no;1635;yes;no;unknown;13;may;730;1;-1;0;unknown;no
46;entrepreneur;single;tertiary;no;580;yes;no;unknown;13;may;36;1;-1;0;unknown;no
54;admin.;divorced;secondary;no;1814;no;no;unknown;13;may;521;1;-1;0;unknown;no
49;entrepreneur;divorced;secondary;no;159;yes;no;unknown;13;may;95;3;-1;0;unknown;no
46;management;married;tertiary;no;48;no;no;unknown;13;may;120;1;-1;0;unknown;no
48;services;divorced;primary;no;189;yes;no;unknown;13;may;768;1;-1;0;unknown;no
43;blue-collar;married;unknown;no;-633;yes;yes;unknown;13;may;277;1;-1;0;unknown;no
50;blue-collar;married;primary;no;5356;no;no;unknown;13;may;289;1;-1;0;unknown;no
44;blue-collar;married;secondary;no;476;yes;no;unknown;13;may;473;1;-1;0;unknown;no
43;unemployed;divorced;secondary;no;4478;yes;no;unknown;13;may;133;1;-1;0;unknown;no
51;admin.;single;secondary;no;3132;no;no;unknown;13;may;459;1;-1;0;unknown;no
59;retired;married;tertiary;no;-892;yes;no;unknown;13;may;129;1;-1;0;unknown;no
52;technician;married;secondary;no;11;yes;no;unknown;13;may;420;1;-1;0;unknown;no
35;admin.;single;secondary;no;414;yes;no;unknown;13;may;386;2;-1;0;unknown;no
36;blue-collar;married;secondary;no;1165;yes;no;unknown;13;may;1001;4;-1;0;unknown;yes
32;services;married;secondary;no;3839;yes;no;unknown;13;may;76;1;-1;0;unknown;no
41;blue-collar;married;secondary;no;196;yes;no;unknown;13;may;488;1;-1;0;unknown;no
47;blue-collar;married;primary;no;521;yes;no;unknown;13;may;262;1;-1;0;unknown;no
45;services;married;secondary;no;350;yes;yes;unknown;13;may;146;1;-1;0;unknown;no
45;blue-collar;married;secondary;no;8680;yes;no;unknown;13;may;503;1;-1;0;unknown;no
45;entrepreneur;divorced;tertiary;no;0;yes;no;unknown;13;may;170;1;-1;0;unknown;no
29;technician;single;secondary;no;309;yes;no;unknown;13;may;214;1;-1;0;unknown;no
36;management;married;tertiary;no;125;yes;no;unknown;13;may;355;1;-1;0;unknown;no
37;blue-collar;divorced;secondary;no;368;yes;no;unknown;13;may;194;2;-1;0;unknown;no
44;admin.;married;secondary;no;1362;yes;no;unknown;13;may;46;1;-1;0;unknown;no
56;retired;married;secondary;no;296;yes;no;unknown;13;may;128;1;-1;0;unknown;no
52;management;married;unknown;no;2240;yes;no;unknown;13;may;845;1;-1;0;unknown;yes
57;management;married;secondary;no;1026;yes;no;unknown;13;may;52;2;-1;0;unknown;no
54;services;married;secondary;no;1301;yes;no;unknown;13;may;173;1;-1;0;unknown;no
49;entrepreneur;married;primary;no;199;no;no;unknown;13;may;113;2;-1;0;unknown;no
24;blue-collar;single;unknown;no;11;yes;no;unknown;13;may;109;2;-1;0;unknown;no
42;self-employed;married;tertiary;no;5;yes;no;unknown;13;may;853;1;-1;0;unknown;no
40;management;married;tertiary;no;373;yes;yes;unknown;13;may;518;1;-1;0;unknown;no
25;management;single;tertiary;no;1270;yes;no;unknown;13;may;124;2;-1;0;unknown;no
28;blue-collar;single;secondary;no;416;yes;no;unknown;13;may;452;2;-1;0;unknown;no
53;retired;married;secondary;no;-27;no;no;unknown;13;may;209;9;-1;0;unknown;no
40;admin.;divorced;secondary;no;221;yes;no;unknown;13;may;154;2;-1;0;unknown;no
27;services;single;secondary;no;331;yes;no;unknown;13;may;203;2;-1;0;unknown;no
34;management;married;tertiary;no;402;yes;no;unknown;13;may;813;2;-1;0;unknown;no
56;self-employed;married;secondary;no;123;no;no;unknown;13;may;81;1;-1;0;unknown;no
45;blue-collar;married;secondary;no;105;yes;yes;unknown;13;may;119;1;-1;0;unknown;no
27;blue-collar;married;secondary;no;0;yes;no;unknown;13;may;296;1;-1;0;unknown;no
53;retired;married;tertiary;no;1691;no;no;unknown;13;may;916;2;-1;0;unknown;no
34;technician;single;tertiary;no;2;yes;no;unknown;13;may;60;2;-1;0;unknown;no
44;admin.;single;unknown;no;3;yes;no;unknown;13;may;443;1;-1;0;unknown;no
46;blue-collar;married;primary;no;399;yes;no;unknown;13;may;353;1;-1;0;unknown;no
53;retired;single;secondary;no;1421;yes;no;unknown;13;may;225;2;-1;0;unknown;no
26;technician;married;tertiary;no;8;yes;yes;unknown;13;may;262;2;-1;0;unknown;no
31;admin.;single;secondary;no;150;yes;yes;unknown;13;may;431;2;-1;0;unknown;no
35;services;married;secondary;no;-371;yes;no;unknown;13;may;358;2;-1;0;unknown;no
43;technician;married;secondary;no;1916;yes;no;unknown;13;may;565;2;-1;0;unknown;no
47;blue-collar;married;primary;no;300;yes;no;unknown;13;may;103;3;-1;0;unknown;no
37;entrepreneur;divorced;secondary;no;175;yes;yes;unknown;13;may;753;6;-1;0;unknown;yes
57;retired;married;tertiary;no;3571;no;no;unknown;13;may;708;2;-1;0;unknown;no
41;blue-collar;married;primary;no;1135;yes;no;unknown;13;may;265;1;-1;0;unknown;no
55;admin.;divorced;unknown;no;789;yes;no;unknown;13;may;434;2;-1;0;unknown;no
51;admin.;divorced;secondary;no;2195;yes;no;unknown;13;may;59;1;-1;0;unknown;no
27;blue-collar;single;secondary;no;1311;yes;no;unknown;13;may;805;2;-1;0;unknown;no
53;management;married;secondary;yes;-689;yes;no;unknown;13;may;242;1;-1;0;unknown;no
39;admin.;single;secondary;no;14;yes;yes;unknown;13;may;19;9;-1;0;unknown;no
35;admin.;married;secondary;no;56;yes;no;unknown;13;may;93;6;-1;0;unknown;no
28;technician;single;secondary;no;26765;no;no;unknown;13;may;210;8;-1;0;unknown;no
29;blue-collar;divorced;unknown;no;17;yes;no;unknown;13;may;31;2;-1;0;unknown;no
51;technician;married;secondary;no;463;yes;no;unknown;13;may;213;5;-1;0;unknown;no
46;admin.;single;secondary;no;751;yes;no;unknown;13;may;104;2;-1;0;unknown;no
50;unemployed;married;secondary;no;3478;yes;no;unknown;13;may;342;3;-1;0;unknown;no
56;entrepreneur;married;unknown;no;88;yes;no;unknown;13;may;172;2;-1;0;unknown;no
28;blue-collar;married;secondary;no;64;yes;no;unknown;13;may;160;3;-1;0;unknown;no
51;management;married;tertiary;no;36;yes;no;unknown;13;may;535;2;-1;0;unknown;no
54;housemaid;married;secondary;no;42;yes;no;unknown;13;may;514;5;-1;0;unknown;no
47;blue-collar;married;primary;no;113;yes;no;unknown;13;may;276;1;-1;0;unknown;no
49;self-employed;married;secondary;no;358;yes;yes;unknown;13;may;176;3;-1;0;unknown;no
46;blue-collar;divorced;primary;no;274;yes;no;unknown;13;may;20;1;-1;0;unknown;no
41;management;married;tertiary;no;0;yes;no;unknown;13;may;161;1;-1;0;unknown;no
45;admin.;married;secondary;no;985;yes;no;unknown;13;may;390;1;-1;0;unknown;no
31;blue-collar;married;primary;no;81;yes;no;unknown;13;may;245;4;-1;0;unknown;no
53;admin.;divorced;secondary;no;592;yes;no;unknown;13;may;151;1;-1;0;unknown;no
60;admin.;divorced;unknown;no;791;yes;no;unknown;13;may;144;1;-1;0;unknown;no
55;retired;married;secondary;no;708;yes;no;unknown;13;may;901;2;-1;0;unknown;no
54;technician;divorced;secondary;no;51;yes;no;unknown;13;may;123;1;-1;0;unknown;no
46;blue-collar;married;primary;no;0;yes;no;unknown;13;may;204;3;-1;0;unknown;no
41;technician;single;unknown;no;356;yes;no;unknown;13;may;93;2;-1;0;unknown;no
34;admin.;married;secondary;no;34;yes;no;unknown;13;may;188;3;-1;0;unknown;no
51;technician;married;secondary;no;12061;yes;no;unknown;13;may;332;1;-1;0;unknown;no
31;admin.;single;secondary;no;513;yes;no;unknown;13;may;180;1;-1;0;unknown;no
55;technician;married;secondary;no;6958;yes;yes;unknown;13;may;178;2;-1;0;unknown;no
44;management;married;tertiary;no;126;yes;no;unknown;13;may;92;1;-1;0;unknown;no
25;services;single;secondary;no;54;yes;no;unknown;13;may;318;2;-1;0;unknown;no
36;blue-collar;married;secondary;no;373;yes;no;unknown;13;may;94;1;-1;0;unknown;no
33;blue-collar;married;secondary;no;304;yes;no;unknown;13;may;139;2;-1;0;unknown;no
46;blue-collar;married;secondary;no;781;no;no;unknown;13;may;152;1;-1;0;unknown;no
43;blue-collar;divorced;primary;no;42;no;no;unknown;13;may;188;1;-1;0;unknown;no
46;management;married;tertiary;no;618;yes;no;unknown;13;may;54;3;-1;0;unknown;no
53;blue-collar;married;secondary;no;1570;yes;no;unknown;13;may;29;1;-1;0;unknown;no
52;technician;divorced;secondary;no;1161;yes;no;unknown;13;may;271;1;-1;0;unknown;no
57;management;divorced;unknown;no;0;no;no;unknown;13;may;95;1;-1;0;unknown;no
31;blue-collar;single;secondary;no;-745;yes;no;unknown;13;may;227;1;-1;0;unknown;no
54;services;married;secondary;no;88;yes;no;unknown;13;may;190;1;-1;0;unknown;no
37;management;married;tertiary;no;1330;yes;no;unknown;13;may;60;1;-1;0;unknown;no
41;blue-collar;married;secondary;no;641;yes;no;unknown;13;may;161;1;-1;0;unknown;no
44;admin.;married;secondary;no;1423;yes;no;unknown;13;may;162;4;-1;0;unknown;no
26;services;single;secondary;no;8206;yes;no;unknown;13;may;213;2;-1;0;unknown;no
40;blue-collar;married;primary;no;4436;yes;no;unknown;13;may;67;2;-1;0;unknown;no
32;admin.;divorced;secondary;no;1611;yes;yes;unknown;13;may;93;1;-1;0;unknown;no
44;technician;single;tertiary;no;607;yes;no;unknown;13;may;119;2;-1;0;unknown;no
44;blue-collar;married;primary;no;300;yes;no;unknown;13;may;297;3;-1;0;unknown;no
35;technician;married;secondary;no;304;yes;no;unknown;13;may;3;1;-1;0;unknown;no
49;services;married;secondary;no;254;yes;no;unknown;13;may;179;1;-1;0;unknown;no
44;technician;married;secondary;no;3790;yes;no;unknown;13;may;342;2;-1;0;unknown;no
40;blue-collar;married;secondary;no;59;yes;no;unknown;13;may;420;1;-1;0;unknown;no
39;blue-collar;married;secondary;no;1554;yes;no;unknown;13;may;378;1;-1;0;unknown;no
51;blue-collar;divorced;tertiary;no;257;yes;no;unknown;13;may;190;1;-1;0;unknown;no
59;retired;divorced;primary;no;643;yes;no;unknown;13;may;354;2;-1;0;unknown;no
42;admin.;married;secondary;no;128;yes;no;unknown;13;may;190;1;-1;0;unknown;no
47;services;divorced;secondary;no;743;yes;yes;unknown;13;may;367;1;-1;0;unknown;no
57;blue-collar;married;primary;no;1460;no;no;unknown;13;may;91;2;-1;0;unknown;no
42;management;married;secondary;no;-32;yes;no;unknown;13;may;77;1;-1;0;unknown;no
40;services;married;primary;no;1117;yes;no;unknown;13;may;280;1;-1;0;unknown;no
44;technician;married;primary;no;2887;yes;no;unknown;13;may;182;1;-1;0;unknown;no
38;admin.;single;unknown;no;446;yes;no;unknown;13;may;386;1;-1;0;unknown;no
51;management;married;tertiary;no;1212;yes;no;unknown;13;may;184;1;-1;0;unknown;no
48;management;married;tertiary;no;2218;yes;no;unknown;13;may;43;2;-1;0;unknown;no
48;blue-collar;married;secondary;no;705;no;no;unknown;13;may;108;2;-1;0;unknown;no
42;blue-collar;divorced;primary;no;299;yes;no;unknown;13;may;253;2;-1;0;unknown;no
48;entrepreneur;married;tertiary;no;313;yes;no;unknown;13;may;195;2;-1;0;unknown;no
49;management;married;tertiary;no;12482;yes;yes;unknown;13;may;46;3;-1;0;unknown;no
44;services;married;secondary;no;29312;no;no;unknown;13;may;226;1;-1;0;unknown;no
44;services;married;primary;no;2226;yes;yes;unknown;13;may;55;1;-1;0;unknown;no
32;blue-collar;single;secondary;no;1940;yes;yes;unknown;13;may;299;3;-1;0;unknown;no
43;blue-collar;married;secondary;no;576;yes;yes;unknown;13;may;148;1;-1;0;unknown;no
44;services;divorced;secondary;no;0;yes;yes;unknown;13;may;97;1;-1;0;unknown;no
53;admin.;divorced;secondary;no;887;yes;no;unknown;13;may;169;2;-1;0;unknown;no
43;blue-collar;married;primary;no;17;yes;no;unknown;13;may;119;10;-1;0;unknown;no
31;technician;married;secondary;no;106;yes;no;unknown;13;may;101;13;-1;0;unknown;no
48;management;married;tertiary;no;489;yes;no;unknown;13;may;60;1;-1;0;unknown;no
46;technician;single;secondary;no;148;yes;no;unknown;13;may;210;1;-1;0;unknown;no
41;blue-collar;divorced;secondary;no;14;yes;yes;unknown;13;may;65;6;-1;0;unknown;no
26;management;married;tertiary;no;1531;yes;no;unknown;13;may;129;4;-1;0;unknown;no
26;blue-collar;married;secondary;no;3108;yes;no;unknown;13;may;481;3;-1;0;unknown;no
52;admin.;divorced;secondary;no;26;yes;no;unknown;13;may;215;1;-1;0;unknown;no
47;blue-collar;married;primary;no;2466;yes;no;unknown;13;may;142;2;-1;0;unknown;no
47;blue-collar;married;unknown;no;1045;yes;no;unknown;13;may;411;2;-1;0;unknown;no
27;blue-collar;married;primary;yes;-588;no;no;unknown;13;may;531;2;-1;0;unknown;no
31;services;married;secondary;no;413;yes;no;unknown;13;may;65;1;-1;0;unknown;no
60;retired;married;tertiary;no;0;yes;no;unknown;13;may;34;4;-1;0;unknown;no
58;retired;married;primary;no;193;yes;yes;unknown;13;may;788;3;-1;0;unknown;no
44;blue-collar;married;secondary;no;1340;yes;no;unknown;13;may;244;1;-1;0;unknown;no
32;blue-collar;married;secondary;no;363;yes;no;unknown;13;may;431;1;-1;0;unknown;no
33;blue-collar;married;primary;no;-306;yes;yes;unknown;13;may;851;4;-1;0;unknown;no
38;admin.;married;secondary;no;607;yes;no;unknown;13;may;315;3;-1;0;unknown;no
35;technician;divorced;secondary;no;556;yes;no;unknown;13;may;214;1;-1;0;unknown;no
47;technician;married;secondary;no;449;yes;yes;unknown;13;may;92;4;-1;0;unknown;no
32;blue-collar;single;secondary;no;338;yes;no;unknown;13;may;73;3;-1;0;unknown;no
41;management;married;primary;no;-4;yes;yes;unknown;13;may;181;3;-1;0;unknown;no
30;management;single;tertiary;no;623;yes;no;unknown;13;may;159;2;-1;0;unknown;no
60;retired;married;secondary;no;1390;no;yes;unknown;13;may;58;2;-1;0;unknown;no
36;blue-collar;divorced;secondary;no;719;yes;no;unknown;13;may;1052;1;-1;0;unknown;no
46;blue-collar;married;primary;no;369;yes;no;unknown;13;may;916;2;-1;0;unknown;yes
58;blue-collar;married;primary;no;1357;yes;no;unknown;13;may;150;2;-1;0;unknown;no
52;entrepreneur;married;unknown;no;0;yes;no;unknown;13;may;165;2;-1;0;unknown;no
55;management;married;secondary;no;0;yes;no;unknown;13;may;309;2;-1;0;unknown;no
43;blue-collar;married;primary;no;2047;yes;no;unknown;13;may;163;2;-1;0;unknown;no
24;admin.;single;secondary;no;507;yes;no;unknown;13;may;210;3;-1;0;unknown;no
24;blue-collar;married;primary;no;-427;yes;no;unknown;13;may;165;3;-1;0;unknown;no
25;blue-collar;married;secondary;no;53;yes;no;unknown;13;may;331;2;-1;0;unknown;no
40;technician;married;secondary;no;93;yes;no;unknown;13;may;134;2;-1;0;unknown;no
31;blue-collar;married;secondary;no;822;yes;no;unknown;13;may;185;6;-1;0;unknown;no
31;technician;single;secondary;no;849;yes;yes;unknown;13;may;295;2;-1;0;unknown;no
26;blue-collar;single;secondary;no;-214;yes;no;unknown;13;may;86;4;-1;0;unknown;no
52;blue-collar;married;secondary;no;161;yes;no;unknown;13;may;274;2;-1;0;unknown;no
25;technician;single;tertiary;no;800;yes;no;unknown;13;may;151;4;-1;0;unknown;no
40;blue-collar;married;secondary;no;598;yes;no;unknown;13;may;69;11;-1;0;unknown;no
42;blue-collar;divorced;secondary;no;-135;yes;no;unknown;13;may;15;11;-1;0;unknown;no
31;technician;married;tertiary;no;0;yes;yes;unknown;13;may;164;2;-1;0;unknown;no
43;entrepreneur;married;secondary;no;59;no;no;unknown;13;may;437;2;-1;0;unknown;no
57;blue-collar;married;primary;no;452;yes;no;unknown;13;may;139;4;-1;0;unknown;no
30;housemaid;single;secondary;no;49;yes;no;unknown;13;may;267;2;-1;0;unknown;no
23;blue-collar;married;primary;no;-213;no;no;unknown;13;may;165;2;-1;0;unknown;no
53;blue-collar;divorced;primary;no;2477;yes;no;unknown;13;may;175;2;-1;0;unknown;no
44;self-employed;married;secondary;no;264;yes;no;unknown;13;may;198;2;-1;0;unknown;no
48;technician;married;secondary;no;4265;yes;no;unknown;13;may;220;2;-1;0;unknown;no
59;retired;divorced;tertiary;no;559;yes;no;unknown;13;may;168;2;-1;0;unknown;no
33;management;married;secondary;no;-15;yes;no;unknown;13;may;247;3;-1;0;unknown;no
60;retired;married;secondary;no;926;yes;no;unknown;13;may;291;2;-1;0;unknown;no
42;services;married;secondary;no;693;yes;no;unknown;13;may;187;2;-1;0;unknown;no
44;management;single;tertiary;no;9956;yes;no;unknown;13;may;194;2;-1;0;unknown;no
50;management;single;tertiary;no;1300;yes;no;unknown;13;may;379;2;-1;0;unknown;no
54;retired;married;secondary;no;2626;no;no;unknown;13;may;151;2;-1;0;unknown;no
29;admin.;single;secondary;no;-44;yes;no;unknown;13;may;166;4;-1;0;unknown;no
59;self-employed;married;tertiary;no;593;no;no;unknown;13;may;64;2;-1;0;unknown;no
37;technician;married;secondary;no;511;yes;no;unknown;13;may;232;4;-1;0;unknown;no
55;retired;married;secondary;no;493;yes;no;unknown;13;may;647;7;-1;0;unknown;no
53;retired;divorced;tertiary;no;599;yes;no;unknown;13;may;322;3;-1;0;unknown;no
31;services;married;secondary;no;272;yes;no;unknown;13;may;133;12;-1;0;unknown;no
49;management;married;tertiary;no;735;yes;no;unknown;13;may;50;3;-1;0;unknown;no
28;blue-collar;married;primary;no;15;yes;no;unknown;13;may;87;2;-1;0;unknown;no
47;blue-collar;married;primary;no;159;yes;no;unknown;13;may;771;2;-1;0;unknown;no
31;blue-collar;married;primary;no;651;yes;no;unknown;13;may;241;2;-1;0;unknown;no
